iter	Passed	Remaining
486	900	584
487	901	582
488	903	580
489	905	578
490	906	576
491	908	574
492	910	572
493	912	570
494	914	568
495	915	566
496	917	565
497	919	563
498	921	561
499	923	559
500	925	557
501	926	555
502	928	554
503	931	552
504	932	550
505	934	548
506	936	546
507	938	544
508	940	543
509	941	541
510	943	539
511	945	537
512	947	535
513	949	533
514	950	531
515	952	529
516	954	527
517	956	526
518	958	524
519	959	522
520	961	520
521	963	518
522	965	516
523	967	515
524	969	513
525	971	511
526	973	509
527	974	507
528	976	505
529	978	504
530	980	502
531	982	500
532	984	498
533	986	496
534	988	494
535	989	493
536	991	491
537	993	489
538	995	487
539	996	485
540	998	483
541	1000	481
542	1002	479
543	1004	478
544	1005	476
545	1007	474
546	1009	472
547	1011	470
548	1013	468
549	1014	466
550	1016	464
551	1018	463
552	1020	461
553	1022	459
554	1024	457
555	1025	455
556	1027	453
557	1029	451
558	1031	450
559	1033	448
560	1034	446
561	1036	444
562	1038	442
563	1040	440
564	1041	438
565	1044	437
566	1045	435
567	1047	433
568	1049	431
569	1051	429
570	1052	427
571	1054	425
572	1056	424
573	1058	422
574	1059	420
575	1061	418
576	1063	416
577	1065	414
578	1067	412
579	1068	410
580	1070	409
581	1072	407
582	1074	405
583	1076	403
584	1078	401
585	1080	399
586	1081	398
587	1083	396
588	1085	394
589	1086	392
590	1088	390
591	1090	388
592	1092	386
593	1093	384
594	1095	383
595	1097	381
596	1100	379
597	1102	377
598	1103	375
599	1113	376
600	1115	375
601	1118	373
602	1120	371
603	1122	369
604	1124	368
605	1126	366
606	1128	364
607	1130	362
608	1132	360
609	1133	358
610	1135	356
611	1137	354
612	1138	352
613	1140	351
614	1142	349
615	1144	347
616	1146	345
617	1148	343
618	1149	341
619	1151	339
620	1152	337
621	1154	335
622	1156	334
623	1158	332
624	1160	330
625	1162	328
626	1163	326
627	1165	324
628	1167	322
629	1168	320
630	1170	319
631	1172	317
632	1174	315
633	1175	313
634	1177	311
635	1179	309
636	1181	307
637	1183	306
638	1185	304
639	1187	302
640	1188	300
641	1190	298
642	1192	296
643	1194	294
644	1195	292
645	1197	291
646	1199	289
647	1201	287
648	1203	285
649	1205	283
650	1206	281
651	1207	279
652	1209	277
653	1211	276
654	1213	274
655	1215	272
656	1217	270
657	1219	268
658	1221	266
659	1223	265
660	1224	263
661	1226	261
662	1228	259
663	1230	257
664	1231	255
665	1233	253
666	1235	251
667	1237	249
668	1238	248
669	1240	246
670	1242	244
671	1243	242
672	1245	240
673	1247	238
674	1249	236
675	1251	235
676	1253	233
677	1255	231
678	1256	229
679	1258	227
680	1260	225
681	1261	223
682	1263	222
683	1265	220
684	1266	218
685	1268	216
686	1270	214
687	1271	212
688	1273	210
689	1275	208
690	1277	207
691	1278	205
692	1280	203
693	1282	201
694	1284	199
695	1286	197
696	1287	195
697	1289	193
698	1290	192
699	1292	190
700	1294	188
701	1296	186
702	1297	184
703	1299	182
704	1301	180
705	1303	179
706	1305	177
707	1307	175
708	1308	173
709	1310	171
710	1312	169
711	1314	167
712	1315	166
713	1317	164
714	1319	162
715	1321	160
716	1323	158
717	1325	156
718	1327	155
719	1328	153
720	1330	151
721	1332	149
722	1333	147
723	1335	145
724	1337	143
725	1339	142
726	1340	140
727	1342	138
728	1344	136
729	1346	134
730	1348	132
731	1349	130
732	1351	129
733	1353	127
734	1355	125
735	1356	123
736	1358	121
737	1360	119
738	1362	117
739	1363	116
740	1365	114
741	1367	112
742	1369	110
743	1371	108
744	1372	106
745	1374	105
746	1376	103
747	1377	101
748	1379	99
749	1381	97
750	1383	95
751	1385	93
752	1387	92
753	1389	90
754	1391	88
755	1392	86
756	1394	84
757	1396	82
758	1398	81
759	1400	79
760	1402	77
761	1403	75
762	1405	73
763	1407	71
764	1409	70
765	1411	68
766	1413	66
767	1415	64
768	1416	62
769	1418	60
770	1420	58
771	1422	57
772	1424	55
773	1425	53
774	1428	51
775	1430	49
776	1431	47
777	1433	46
778	1434	44
779	1436	42
780	1438	40
781	1440	38
782	1441	36
783	1443	34
784	1445	33
785	1447	31
786	1449	29
787	1450	27
788	1452	25
789	1454	23
790	1456	22
791	1457	20
792	1459	18
793	1461	16
794	1463	14
795	1465	12
796	1467	11
797	1469	9
798	1470	7
799	1472	5
800	1474	3
801	1476	1
802	1478	0
