iter	Logloss
0	0.6873189535
1	0.6808276139
2	0.6746221861
3	0.6687245916
4	0.6628228408
5	0.6573578653
6	0.6517553916
7	0.6465007298
8	0.6413542607
9	0.6362932538
10	0.631420228
11	0.6266412938
12	0.6221297431
13	0.617588074
14	0.6130135682
15	0.6095674384
16	0.6054205343
17	0.6012101074
18	0.5974776082
19	0.593481307
20	0.5898238342
21	0.5858556583
22	0.5821230536
23	0.578676395
24	0.5751871842
25	0.5718282589
26	0.5691214114
27	0.5656993593
28	0.5625173691
29	0.5604216614
30	0.5575740668
31	0.5547484378
32	0.5518725998
33	0.5494713819
34	0.5470312451
35	0.5444484511
36	0.5417421862
37	0.5394506892
38	0.5370829969
39	0.5347389616
40	0.5326952787
41	0.5307151656
42	0.5283629273
43	0.526094126
44	0.5237388439
45	0.5214894128
46	0.5198783105
47	0.5179791621
48	0.516203528
49	0.5142337365
50	0.5125667602
51	0.5107624365
52	0.5093886247
53	0.5077687271
54	0.5062758859
55	0.5045049009
56	0.5032133745
57	0.5016029208
58	0.4999193375
59	0.4985758049
60	0.4971254529
61	0.4956777314
62	0.4942363812
63	0.4927487713
64	0.4913423254
65	0.4900395257
66	0.4886320595
67	0.4871975683
68	0.4857503358
69	0.4842838445
70	0.4830089582
71	0.4818897028
72	0.481003183
73	0.4800087473
74	0.4788550104
75	0.477826486
76	0.4767959092
77	0.4758788273
78	0.4747650536
79	0.4737629297
80	0.4727545976
81	0.4718612725
82	0.4708926086
83	0.4700123526
84	0.4690829631
85	0.4680920659
86	0.4672532826
87	0.4663966965
88	0.4657059066
89	0.4649147787
90	0.4641799495
91	0.4634880423
92	0.4627825631
93	0.4619200174
94	0.4612270692
95	0.4606214019
96	0.460035906
97	0.4591192718
98	0.4583378209
99	0.4577074723
100	0.4571004261
101	0.4564003136
102	0.4559071649
103	0.4552830978
104	0.4545819288
105	0.4539327312
106	0.4533990042
107	0.4529155157
108	0.4523814054
109	0.4517480885
110	0.4512444057
111	0.450631998
112	0.4499097853
113	0.4493780179
114	0.4489635467
115	0.4485151746
116	0.4480070448
117	0.4475419165
118	0.4469250655
119	0.4463429309
120	0.445789697
121	0.4452662753
122	0.4448568539
123	0.4444548818
124	0.4439281599
125	0.4435666041
126	0.4431156704
127	0.4426951351
128	0.4422687637
129	0.441929505
130	0.4415802657
131	0.4412178174
132	0.440851691
133	0.4406027043
134	0.4402408315
135	0.4398432365
136	0.4393459524
137	0.4390354759
138	0.4387337474
139	0.4384174655
140	0.4380597588
141	0.4377966559
142	0.4375194306
143	0.4371854691
144	0.4369096482
145	0.4365330777
146	0.4362435646
147	0.4358152766
148	0.4355207556
149	0.4352135414
150	0.4350415855
151	0.4347894335
152	0.4344411079
153	0.4341168178
154	0.4338838796
155	0.4336132896
156	0.4333484101
157	0.4331246235
158	0.4328447409
159	0.4325512203
160	0.4322544107
161	0.4317842982
162	0.4315172771
163	0.4312004015
164	0.4308933659
165	0.4306166851
166	0.4303346694
167	0.4301543889
168	0.4299053602
169	0.4297018575
170	0.4294293794
171	0.4291745756
172	0.4289099226
173	0.4286398302
174	0.4283732307
175	0.4281931031
176	0.4278747466
177	0.4276317607
178	0.4274537513
179	0.4272693723
180	0.4270944613
181	0.4268806622
182	0.4266172332
183	0.4263862971
184	0.4261935317
185	0.425981238
186	0.4257816676
187	0.4256333371
188	0.4254561005
189	0.4252884615
190	0.4250098316
191	0.4248424533
192	0.424602775
193	0.4243877044
194	0.4240887174
195	0.4238746055
196	0.423690148
197	0.4235350311
198	0.4233344483
199	0.4232068918
200	0.4230250759
201	0.4228719287
202	0.4227418884
203	0.4225594599
204	0.4223916424
205	0.422130213
206	0.4218898155
207	0.421745879
208	0.4215025291
209	0.4213620488
210	0.4211618004
211	0.4209801288
212	0.4208165513
213	0.4205749702
214	0.4204778986
215	0.4203236287
216	0.4202105514
217	0.4200570957
218	0.4198978835
219	0.4197558066
220	0.4195184029
221	0.4194370588
222	0.4192701085
223	0.4191402772
224	0.4189374833
225	0.4187932194
226	0.4186440008
227	0.4185349785
228	0.4183822655
229	0.4181521594
230	0.4180163307
231	0.4179284539
232	0.4178316395
233	0.417674074
234	0.4175937033
235	0.417401276
236	0.4173004335
237	0.4171316785
238	0.4170007816
239	0.4168950238
240	0.4168230042
241	0.416683742
242	0.4165633418
243	0.4164856101
244	0.4163855583
245	0.4162634852
246	0.4161722229
247	0.4160390047
248	0.4159295723
249	0.4158351617
250	0.4156495337
251	0.4155482637
252	0.4154284097
253	0.4153520006
254	0.4152817837
255	0.4152086333
256	0.4150923719
257	0.41499791
258	0.4149003086
259	0.4148067566
260	0.4146837401
261	0.4145579971
262	0.4144152965
263	0.4142964729
264	0.4142275043
265	0.4141169545
266	0.4140642012
267	0.4139124871
268	0.4138200185
269	0.4136657575
270	0.4135978483
271	0.4135053131
272	0.4134098755
273	0.4133305779
274	0.4132755865
275	0.4132276647
276	0.4131179649
277	0.4129834383
278	0.4128322329
279	0.4127650615
280	0.4126112025
281	0.4124864056
282	0.4124042008
283	0.4123272911
284	0.4122543947
285	0.4121519991
286	0.4120707734
287	0.4120125823
288	0.4119401114
289	0.4118121238
290	0.411738649
291	0.4116509065
292	0.4115118185
293	0.4114674678
294	0.4113988376
295	0.4113318167
296	0.4111930178
297	0.411146868
298	0.4110764085
299	0.4109750084
300	0.4109193917
301	0.410836617
302	0.4107725909
303	0.4106714343
304	0.4105843988
305	0.4104664414
306	0.4103913095
307	0.4103279659
308	0.4102407491
309	0.4101345396
310	0.410067386
311	0.4100133251
312	0.4099345737
313	0.4098504067
314	0.4097693204
315	0.4097057137
316	0.4096347937
317	0.4095981382
318	0.4095127657
319	0.4094392693
320	0.4093804698
321	0.4093387107
322	0.4092970831
323	0.4092496497
324	0.4091781962
325	0.4090974713
326	0.409018993
327	0.4089272084
328	0.4088664909
329	0.4087891979
330	0.4087379886
331	0.4086827479
332	0.408603422
333	0.4084816364
334	0.4084245836
335	0.4083730133
336	0.4082981157
337	0.4082452071
338	0.4082064836
339	0.4081519129
340	0.4080490303
341	0.4079885464
342	0.4079555707
343	0.4079243017
344	0.407830726
345	0.4077609944
346	0.4076991674
347	0.4076495392
348	0.4076038688
349	0.4075640977
350	0.4074928617
351	0.4074334146
352	0.4073888412
353	0.4073192764
354	0.4072391785
355	0.4071884509
356	0.4071514205
357	0.4070958545
358	0.4070246924
359	0.4069616859
360	0.4068990602
361	0.4068525073
362	0.4067776832
363	0.4067295005
364	0.4066883901
365	0.4066010054
366	0.4065689965
367	0.4065120276
368	0.4064685909
369	0.4064225775
370	0.4063489804
371	0.4062949588
372	0.4062236462
373	0.4061625114
374	0.4061049157
375	0.4060685199
376	0.4060216782
377	0.4059940983
378	0.4059270749
379	0.4058378625
380	0.4058069255
381	0.4057689598
382	0.4057111699
383	0.4056779615
384	0.4055758844
385	0.4055271459
386	0.4054910775
387	0.4054356815
388	0.4053747101
389	0.4053237717
390	0.4052674198
391	0.4052374021
392	0.4051812762
393	0.4051151633
394	0.4050315365
395	0.4049568843
396	0.4049092831
397	0.4048720657
398	0.4048270595
399	0.4047645231
400	0.4047373483
401	0.4047043548
402	0.4046745247
403	0.4046444616
404	0.4045893353
405	0.4045338094
406	0.4044688333
407	0.4044137579
408	0.4043534331
409	0.4043262533
410	0.4042904636
411	0.4042536464
412	0.404211434
413	0.4041816287
414	0.4041225374
415	0.4040928288
416	0.4040532162
417	0.4039866806
418	0.4039085654
419	0.4038283513
420	0.4037850738
421	0.4037615198
422	0.403708075
423	0.4036696463
424	0.4036278668
425	0.4035944302
426	0.4035599523
427	0.4035351974
428	0.4034985003
429	0.4034560965
430	0.4034268764
431	0.4033925016
432	0.4033589272
433	0.4033196222
434	0.4032744181
435	0.4032414239
436	0.4031964515
437	0.4031710605
438	0.4031441613
439	0.4030894596
440	0.4030470809
441	0.4030260412
442	0.4029818943
443	0.4029275332
444	0.4028728532
445	0.4028194152
446	0.40279315
447	0.4027745223
448	0.4027326083
449	0.4027003365
450	0.4026501675
451	0.4026035531
452	0.40257315
453	0.402542792
454	0.4025055257
455	0.4024803165
456	0.4024166167
457	0.4023941873
458	0.4023406296
459	0.4023156077
460	0.4022798282
461	0.4022519239
462	0.4022152528
463	0.4021827461
464	0.4021266129
465	0.4021074355
466	0.4020529573
467	0.4020375611
468	0.402014953
469	0.4019748997
470	0.4019570992
471	0.4019359651
472	0.4019170195
473	0.4018741801
474	0.4018459175
475	0.4017628204
476	0.401741215
477	0.4017228458
478	0.4017021536
